trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,similar_BNF_product_description,score,to_remove_dups,DM+D: Product Description,BNF Code,SNOMED Code,AB_PRESUMED.DIAGNOSIS
prescriptions,nitrofurantoin,both_sexes,,,,,nitrofurantoin,"bactericidal antibiotic,antibiotic",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-nitrofurantoin-both_sexes.tsv.bgz.tbi,16250,12088,2588,"AFR,CSA,EAS,EUR",4,111,,332,51,13899,,6525,,8544,2658,406632,,0.14347,,0.0288,0.0829,0.051049,,0.97726,,1.0277,1.0109,1.0463,,prescriptions-nitrofurantoin-both_sexes.tsv.bgz,prescriptions-nitrofurantoin-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-nitrofurantoin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-nitrofurantoin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-nitrofurantoin-both_sexes.tsv.bgz.tbi,1862910023,2123734,868a92d49c62a746bb43340459262b98,d1f480bd04a863b0679873238be57fa5,PR_nitrofurantoin_h0.05105_n16250,,0,PR_nitrofurantoin_h0.05105,1.06,,,,,Nitrofurantoin 50mg tablets,63,0,Nitrofurantoin 50mg tablets,0501130R0AAADAD,1.29E+15,
prescriptions,corticosteroid|long-acting beta-2 agonist|LABA,both_sexes,,,,,corticosteroid|long-acting beta-2 agonist|LABA,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-corticosteroid|long-acting_beta-2_agonist|LABA-both_sexes.tsv.bgz.tbi,5747,2903,2286,"CSA,EUR",2,,,130,,4872,,,,8746,,415659,,,,0.16596,,0.18139,,,,0.99383,,1.0497,,prescriptions-corticosteroid|long-acting_beta-2_agonist|LABA-both_sexes.tsv.bgz,prescriptions-corticosteroid|long-acting_beta-2_agonist|LABA-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-corticosteroid|long-acting_beta-2_agonist|LABA-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-corticosteroid|long-acting_beta-2_agonist|LABA-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-corticosteroid|long-acting_beta-2_agonist|LABA-both_sexes.tsv.bgz.tbi,1132266609,1935726,463a9e96297524bee659ad97f3a47df4,d8dc4c812ab0df19819923b2398a2705,PR_corticosteroid_longacting_beta2_agonist_LABA_h0.18139_n5747,T44.5X5A,0,PR_corticosteroid_longacting_beta2_agonist_LABA_h0.18139,1.07,h2_z_insignificant,,0.0078,,Norethisterone acetate 1mg tablets,45,0,Norethisterone acetate 1mg tablets,,3.22E+15,
prescriptions,local anesthetic|anti-arrhythmic|sodium channel blocker,both_sexes,,,,,local anesthetic|anti-arrhythmic|sodium channel blocker,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-local_anesthetic|anti-arrhythmic|sodium_channel_blocker-both_sexes.tsv.bgz.tbi,9104,4858,3527,"CSA,EUR",2,,,93,,8061,,,,8783,,412470,,,,0.0321,,0.062632,,,,1.0093,,1.0389,,prescriptions-local_anesthetic|anti-arrhythmic|sodium_channel_blocker-both_sexes.tsv.bgz,prescriptions-local_anesthetic|anti-arrhythmic|sodium_channel_blocker-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-local_anesthetic|anti-arrhythmic|sodium_channel_blocker-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-local_anesthetic|anti-arrhythmic|sodium_channel_blocker-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-local_anesthetic|anti-arrhythmic|sodium_channel_blocker-both_sexes.tsv.bgz.tbi,1146203697,1940404,36fd2961b716b0d5cff90f1beab379e0,13959635320079fb3ffd792b3ab3e1fc,PR_local_anesthetic_antiarrhythmic_sodium_channel_blocker_h0.06263_n9104,T41.3X1A,0,PR_local_anesthetic_antiarrhythmic_sodium_channel_blocker_h0.06263,1.04,,,,,Opsil artificial eye lubricant thick (Technovent Ltd),41,0,Opsil artificial eye lubricant thick (Technovent Ltd),21300000201,1.39E+16,
prescriptions,oxybutynin,both_sexes,,,,,oxybutynin,"anti-muscarinic,anti-cholinergic",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-oxybutynin-both_sexes.tsv.bgz.tbi,6048,3562,1942,"AFR,CSA,EUR",3,65,,175,,5134,,6571,,8701,,415397,,0.0299,,0.0679,,0.10291,,1.0116,,1.0125,,1.0492,,prescriptions-oxybutynin-both_sexes.tsv.bgz,prescriptions-oxybutynin-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-oxybutynin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-oxybutynin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-oxybutynin-both_sexes.tsv.bgz.tbi,1604577739,2051453,50b31f0672be4a7fa4fd5daf17819df5,ad34e0cbf0cbfe026771c0f0c73fb874,PR_oxybutynin_h0.10291_n6048,,0,PR_oxybutynin_h0.10291,1.05,,,,,Oxybutynin 3mg tablets,56,0,Oxybutynin 3mg tablets,0704020J0AAABAB,9.75E+14,Urinary incontinence
prescriptions,oxytetracycline,both_sexes,,,,,oxytetracycline,"tetracycline antibiotic,antibiotic",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-oxytetracycline-both_sexes.tsv.bgz.tbi,14248,7644,5405,"AFR,CSA,EUR",3,78,,202,,12486,,6558,,8674,,408045,,0.23022,,0.12292,,0.07017,,0.959,,1.0101,,1.0767,,prescriptions-oxytetracycline-both_sexes.tsv.bgz,prescriptions-oxytetracycline-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-oxytetracycline-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-oxytetracycline-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-oxytetracycline-both_sexes.tsv.bgz.tbi,1635534180,2057164,8e578454dc1b9c2826f0cea28012f741,b448eba1704c29599fcb87db92707016,PR_oxytetracycline_h0.07017_n14248,,0,PR_oxytetracycline_h0.07017,1.08,,,,,Oxytetracycline 250mg tablets,64,0,Oxytetracycline 250mg tablets,0501030T0AAAJAJ,3.34E+15,Acne
prescriptions,paracetamol,both_sexes,,,,,paracetamol,antipyretic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-paracetamol-both_sexes.tsv.bgz.tbi,48511,25157,18582,"AFR,AMR,CSA,EAS,EUR,MID",6,572,72,1668,156,40391,183,6064,908,7208,2553,380140,1416,0.0667,0.0679,0.0395,0.0445,0.066277,0.094,0.9928,1.0177,1.0033,1.0207,1.1552,0.93179,prescriptions-paracetamol-both_sexes.tsv.bgz,prescriptions-paracetamol-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-paracetamol-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-paracetamol-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-paracetamol-both_sexes.tsv.bgz.tbi,2409833945,2254368,464bfaafe36a2aef77d3f41abfbaa888,fb5ff1d82aa0ddebcfb955da2e6f5889,PR_paracetamol_h0.06628_n48511,,0,PR_paracetamol_h0.06628,1.14,,,,,Paracetamol 1g tablets,61,1,Paracetamol 1g tablets,0407010H0AADLDL,1.67E+16,
prescriptions,paroxetine,both_sexes,,,,,paroxetine,"selective serotonin re-uptake inhibitor,SSRI",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-paroxetine-both_sexes.tsv.bgz.tbi,5908,3612,1695,"CSA,EUR",2,,,90,,5064,,,,8786,,415467,,,,0,,0.072573,,,,0.98538,,1.0461,,prescriptions-paroxetine-both_sexes.tsv.bgz,prescriptions-paroxetine-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-paroxetine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-paroxetine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-paroxetine-both_sexes.tsv.bgz.tbi,1129047700,1936157,5aa821e290959eee100a6e81c2e52c09,0a4910b833d4454106ce5f74d1a4b08e,PR_paroxetine_h0.07257_n5908,,0,PR_paroxetine_h0.07257,1.04,,,,,Paroxetine 20mg tablets,55,0,Paroxetine 20mg tablets,0403030P0AAAAAA,5.53E+15,Depression/Mood disorder
prescriptions,peppermint oil,both_sexes,,,,,peppermint oil,Food Supplement,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-peppermint_oil-both_sexes.tsv.bgz.tbi,3311,2118,852,"CSA,EUR",2,,,100,,2764,,,,8776,,417767,,,,0.10013,,0.070762,,,,1.0158,,1.0461,,prescriptions-peppermint_oil-both_sexes.tsv.bgz,prescriptions-peppermint_oil-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-peppermint_oil-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-peppermint_oil-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-peppermint_oil-both_sexes.tsv.bgz.tbi,1107924422,1930740,3bec220f6128ff57c11b7e8fbc862b59,164cd33867884945c9662775da5c5c71,PR_peppermint_oil_h0.07076_n3311,T51.3X1,0,PR_peppermint_oil_h0.07076,1.04,,,,,Peppermint oil liquid,74,0,Peppermint oil liquid,0102000T0AAABAB,4.31E+15,
prescriptions,serotonin-norepinephrine reuptake inhibitor|SNRI|antidepressant,both_sexes,,,,,serotonin-norepinephrine reuptake inhibitor|SNRI|antidepressant,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-serotonin-norepinephrine_reuptake_inhibitor|SNRI|antidepressant-both_sexes.tsv.bgz.tbi,4032,2417,1168,"CSA,EUR",2,,,58,,3414,,,,8818,,417117,,,,0.0589,,0.051616,,,,1.0094,,1.0234,,prescriptions-serotonin-norepinephrine_reuptake_inhibitor|SNRI|antidepressant-both_sexes.tsv.bgz,prescriptions-serotonin-norepinephrine_reuptake_inhibitor|SNRI|antidepressant-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-serotonin-norepinephrine_reuptake_inhibitor|SNRI|antidepressant-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-serotonin-norepinephrine_reuptake_inhibitor|SNRI|antidepressant-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-serotonin-norepinephrine_reuptake_inhibitor|SNRI|antidepressant-both_sexes.tsv.bgz.tbi,1107000396,1931666,45ec0e114db1bbbd6738d9645fb49fe9,46ae48c5b6fc69381350f9b85c988722,PR_serotoninnorepinephrine_reuptake_inhibitor_SNRI_antidepressant_h0.05162_n4032,T43.21,0,PR_serotoninnorepinephrine_reuptake_inhibitor_SNRI_antidepressant_h0.05162,1.03,,,,,Perindopril erbumine 2mg tablets (Tillomed Laboratories Ltd),41,0,Perindopril erbumine 2mg tablets (Tillomed Laboratories Ltd),0205051M0AAAAAA,2.68E+16,
prescriptions,phenoxymethylpenicillin,both_sexes,,,,,phenoxymethylpenicillin,"beta-lactam antibiotic,antibiotic",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-phenoxymethylpenicillin-both_sexes.tsv.bgz.tbi,24431,13737,8333,"AFR,CSA,EAS,EUR,MID",5,282,,670,126,20499,68,6354,,8206,2583,400032,1531,0.0402,,0.0295,0.0793,0.052494,0.0154,1.0144,,0.9995,1.0081,1.0475,1.0761,prescriptions-phenoxymethylpenicillin-both_sexes.tsv.bgz,prescriptions-phenoxymethylpenicillin-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-phenoxymethylpenicillin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-phenoxymethylpenicillin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-phenoxymethylpenicillin-both_sexes.tsv.bgz.tbi,2168960663,2197693,dd2195c731da0b18dc749325c1aeff10,7d3a36f1e8da6ea7d1f8b5c22f4f7071,PR_phenoxymethylpenicillin_h0.05249_n24431,,0,PR_phenoxymethylpenicillin_h0.05249,1.05,,,,,Phenoxymethylpenicillin 250mg tablets,73,0,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,3.66E+15,
categorical,20003,both_sexes,1141171646,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,pioglitazone,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141171646.tsv.bgz.tbi,1028,352,676,"CSA,EUR",2,,,68,,855,,,,8781,,419618,,,,0.19178,,0.19952,,,,1.0023,,1.0169,,categorical-20003-both_sexes-1141171646.tsv.bgz,categorical-20003-both_sexes-1141171646.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141171646.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141171646.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141171646.tsv.bgz.tbi,1060816686,1922348,7000b0ea2446bc26de3441c9eb1aaa5a,dc89b88059adf4dc7fa9c1c715ead6d3,CA_PR_pioglitazone_h0.19952_n1028,,0,CA_PR_pioglitazone_h0.19952,1.02,h2_z_insignificant,,0.0057,,Pioglitazone 15mg tablets,59,0,Pioglitazone 15mg tablets,0601023B0AAAAAA,1.01E+15,
prescriptions,piroxicam,both_sexes,,,,,piroxicam,"non-steroidal anti-inflammatory drug,NSAID",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-piroxicam-both_sexes.tsv.bgz.tbi,11976,6526,4313,"AFR,CSA,EUR",3,146,,624,,9784,,6490,,8252,,410747,,0.1294,,0.0611,,0.07929,,0.97623,,1.0031,,1.0716,,prescriptions-piroxicam-both_sexes.tsv.bgz,prescriptions-piroxicam-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-piroxicam-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-piroxicam-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-piroxicam-both_sexes.tsv.bgz.tbi,1669750426,2062610,1f31dd657ee5b7269cb4e5f2bb9fe2c2,0cf8aebef6dbaf7ea0abaf4ab35a5762,PR_piroxicam_h0.07929_n11976,,0,PR_piroxicam_h0.07929,1.08,,,,,Piroxicam 0.5% gel,59,0,Piroxicam 0.5% gel,1003020R0AAAAAA,3.29E+16,
prescriptions,pizotifen,both_sexes,,,,,pizotifen,"anti-migraine agent,serotonin receptor antagonist",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-pizotifen-both_sexes.tsv.bgz.tbi,2859,1984,633,"CSA,EUR",2,,,61,,2467,,,,8815,,418064,,,,0.0906,,0.074051,,,,1.0031,,1.0668,,prescriptions-pizotifen-both_sexes.tsv.bgz,prescriptions-pizotifen-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-pizotifen-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-pizotifen-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-pizotifen-both_sexes.tsv.bgz.tbi,1096599434,1929768,c4a8124b427037e578140f9b04019c10,cdc2875a72dd46e6e25577fee8b3230a,PR_pizotifen_h0.07405_n2859,,0,PR_pizotifen_h0.07405,1.04,,,,,Pizotifen 1.5mg tablets,50,0,Pizotifen 1.5mg tablets,0407042Q0AAACAC,9.75E+14,
prescriptions,aminoglycoside antibiotic|corticosteroid|antibiotic,both_sexes,,,,,aminoglycoside antibiotic|corticosteroid|antibiotic,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-aminoglycoside_antibiotic|corticosteroid|antibiotic-both_sexes.tsv.bgz.tbi,6552,3023,2908,"CSA,EUR",2,,,173,,5583,,,,8703,,414948,,,,0.125,,0.077373,,,,1.0123,,1.0782,,prescriptions-aminoglycoside_antibiotic|corticosteroid|antibiotic-both_sexes.tsv.bgz,prescriptions-aminoglycoside_antibiotic|corticosteroid|antibiotic-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-aminoglycoside_antibiotic|corticosteroid|antibiotic-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-aminoglycoside_antibiotic|corticosteroid|antibiotic-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-aminoglycoside_antibiotic|corticosteroid|antibiotic-both_sexes.tsv.bgz.tbi,1142514333,1937692,ac00a53ffc0e469f333d72559a16769a,3a4816ff530ee718dcd2324449f39344,PR_aminoglycoside_antibiotic_corticosteroid_antibiotic_h0.07737_n6552,T36.5X5A,0,PR_aminoglycoside_antibiotic_corticosteroid_antibiotic_h0.07737,1.07,h2_z_insignificant,,0.0075,,Polycose powder (Abbott Laboratories Ltd),41,0,Polycose powder (Abbott Laboratories Ltd),090401000BBDSA0,1.71E+15,
prescriptions,thiazide diuretic|diuretic,both_sexes,,,,,thiazide diuretic|diuretic,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-thiazide_diuretic|diuretic-both_sexes.tsv.bgz.tbi,30625,15787,11859,"AFR,CSA,EAS,EUR,MID",5,433,,663,84,25934,84,6203,,8213,2625,394597,1515,0.0599,,0,0.15636,0.084458,0.0841,0.99231,,1.0215,1.0003,1.1397,1.0121,prescriptions-thiazide_diuretic|diuretic-both_sexes.tsv.bgz,prescriptions-thiazide_diuretic|diuretic-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-thiazide_diuretic|diuretic-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-thiazide_diuretic|diuretic-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-thiazide_diuretic|diuretic-both_sexes.tsv.bgz.tbi,2184973352,2200565,5364fd4cc0b328afa98131655a33446f,42e2be54e846928f207328dfad07ed23,PR_thiazide_diuretic_diuretic_h0.08446_n30625,T50.2X1A,0,PR_thiazide_diuretic_diuretic_h0.08446,1.15,,,,,Polythiazide 1mg tablets,44,0,Polythiazide 1mg tablets,0202010X0AAAAAA,4.55E+15,
prescriptions,potassium chloride/sodium chloride/sodium bicarbonate/macrogol,both_sexes,,,,,potassium chloride/sodium chloride/sodium bicarbonate/macrogol,"osmotic laxative,laxative",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-potassium_chloride_sodium_chloride_sodium_bicarbonate_macrogol-both_sexes.tsv.bgz.tbi,5469,3284,1659,"AFR,CSA,EUR",3,65,,129,,4623,,6571,,8747,,415908,,0.12664,,0.0795,,0.086992,,0.99831,,1.0083,,1.0487,,prescriptions-potassium_chloride_sodium_chloride_sodium_bicarbonate_macrogol-both_sexes.tsv.bgz,prescriptions-potassium_chloride_sodium_chloride_sodium_bicarbonate_macrogol-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-potassium_chloride_sodium_chloride_sodium_bicarbonate_macrogol-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-potassium_chloride_sodium_chloride_sodium_bicarbonate_macrogol-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-potassium_chloride_sodium_chloride_sodium_bicarbonate_macrogol-both_sexes.tsv.bgz.tbi,1598082144,2050764,148c50f1dc8eadf30fb1e3b4e8fb7a7e,ce33dac3e5c3d1406bfb21f721b5922a,PR_potassium_chloride_sodium_chloride_sodium_bicarbonate_macrogol_h0.08699_n5469,P74.3,0,PR_potassium_chloride_sodium_chloride_sodium_bicarbonate_macrogol_h0.08699,1.03,,,,,Potassium chloride 3% (potassium 40mmol/100ml) / Sodium chloride 0.9% infusion 100ml bags,52,0,Potassium chloride 3% (potassium 40mmol/100ml) / Sodium chloride 0.9% infusion 100ml bags,,2.27E+16,
prescriptions,opioid|anti-diarrheal agent,both_sexes,,,,,opioid|anti-diarrheal agent,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-opioid|anti-diarrheal_agent-both_sexes.tsv.bgz.tbi,10955,5738,4216,"AFR,CSA,EUR",3,105,,394,,9245,,6531,,8482,,411286,,0.12241,,0.0335,,0.058303,,0.99405,,0.9933,,1.0375,,prescriptions-opioid|anti-diarrheal_agent-both_sexes.tsv.bgz,prescriptions-opioid|anti-diarrheal_agent-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-opioid|anti-diarrheal_agent-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-opioid|anti-diarrheal_agent-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-opioid|anti-diarrheal_agent-both_sexes.tsv.bgz.tbi,1652198547,2059628,d26c81b437265e6adda6d3bb2b5a6561,ecb55c782dee35f65823aed92a8dd51d,PR_opioid_antidiarrheal_agent_h0.05830_n10955,Z88.3,0,PR_opioid_antidiarrheal_agent_h0.05830,1.03,,,,,Povidone-Iodine 10% vaginal gel,45,0,Povidone-Iodine 10% vaginal gel,0702020V0AAABAB,4.09E+15,
categorical,20003,both_sexes,1140888648,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,pravastatin,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140888648.tsv.bgz.tbi,2355,955,1400,"CSA,EUR",2,,,90,,2000,,,,8759,,418473,,,,0.0574,,0.086723,,,,1.0026,,1.0236,,categorical-20003-both_sexes-1140888648.tsv.bgz,categorical-20003-both_sexes-1140888648.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140888648.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140888648.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140888648.tsv.bgz.tbi,1094207740,1928414,320be2264d9187c29c3de23b69d9b52d,db19a0d56d33186dae81e9f7b05df424,CA_PR_pravastatin_h0.08672_n2355,,0,CA_PR_pravastatin_h0.08672,1.04,h2_z_insignificant,,0.0004,,Pravastatin 10mg tablets,57,1,Pravastatin 10mg tablets,0212000X0AAAAAA,1.03E+15,
prescriptions,pravastatin,both_sexes,,,,,pravastatin,"HMG CoA reductase inhibitor,statin",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-pravastatin-both_sexes.tsv.bgz.tbi,6432,2640,3211,"CSA,EUR",2,,,228,,5426,,,,8648,,415105,,,,0.0723,,0.085308,,,,0.99366,,1.0519,,prescriptions-pravastatin-both_sexes.tsv.bgz,prescriptions-pravastatin-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-pravastatin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-pravastatin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-pravastatin-both_sexes.tsv.bgz.tbi,1145732302,1937898,eacbff79629238b083c46814d22753f3,2538e8d91e256eb0949b6a19b5c0a5cc,PR_pravastatin_h0.08531_n6432,,0,PR_pravastatin_h0.08531,1.02,,,,,Pravastatin 10mg tablets,57,0,Pravastatin 10mg tablets,0212000X0AAAAAA,1.03E+15,
