trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,to_remove_dups,similar_phenocode,score
icd10,K02,both_sexes,,,K02 Dental caries,truncated: true,K02 Dental caries,"Chapter XI Diseases of the digestive system | K00-K14 Diseases of oral cavity, salivary glands and jaws | K02 Dental caries",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K02-both_sexes.tsv.bgz.tbi,4513,2085,1964,"AFR,CSA,EUR",3,239,,92,,3646,,6397,,8784,,416885,,0,,0.12302,,0.088644,,0.98722,,1.0029,,1.0238,,icd10-K02-both_sexes.tsv.bgz,icd10-K02-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K02-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K02-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K02-both_sexes.tsv.bgz.tbi,1639999270,2059595,eec6f4bb59653a2512fa8436941cd19e,6325e16b7cff561c022239c7525ad62e,IC_Dental_caries_h0.08864_n4513,K02,0,IC_Dental_caries_h0.08864,1.03,h2_z_insignificant,,-0.0021,K02,0,Dental caries,87
phecode,521,both_sexes,,,Diseases of hard tissues of teeth,,Diseases of hard tissues of teeth,digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-521-both_sexes.tsv.bgz.tbi,4629,2141,2009,"AFR,CSA,EUR",3,240,,94,,3742,,6226,,8587,,408157,,0,,0.16017,,0.088764,,1.0041,,1.0003,,1.0256,,phecode-521-both_sexes.tsv.bgz,phecode-521-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-521-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-521-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-521-both_sexes.tsv.bgz.tbi,1640374368,2059710,409e98880e05a416bc66bcbb6fbaaa99,3dad19ae658a11081c4f78ca89663189,PH_Diseases_of_hard_tissues_of_teeth_h0.08876_n4629,K03.9,0,PH_Diseases_of_hard_tissues_of_teeth_h0.08876,1.04,h2_z_insignificant,,-0.0029,K03.7-K03.8-K03.9,0,Diseases of spleen,59
phecode,522.5,both_sexes,,,Periapical abscess,,Periapical abscess,digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-522.5-both_sexes.tsv.bgz.tbi,1665,886,610,EUR,1,,,,,1392,,,,,,408157,,,,,,0.06752,,,,,,1.0273,,phecode-522.5-both_sexes.tsv.bgz,phecode-522.5-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-522.5-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-522.5-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-522.5-both_sexes.tsv.bgz.tbi,540045995,1752209,2de7d6dc77dbdf411a4830f4a1ddcc0b,4537a3881b2fe5a1f2ad224713f1fcbd,PH_Periapical_abscess_h0.06752_n1665,K04.6,0,PH_Periapical_abscess_h0.06752_F31,1.04,h2_z_insignificant,,0.002,K04,0,Peripheral vascular disease,58
icd10,K05,both_sexes,,,K05 Gingivitis and periodontal diseases,truncated: true,K05 Gingivitis and periodontal diseases,"Chapter XI Diseases of the digestive system | K00-K14 Diseases of oral cavity, salivary glands and jaws | K05 Gingivitis and periodontal diseases",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K05-both_sexes.tsv.bgz.tbi,1179,636,429,EUR,1,,,,,968,,,,,,419563,,,,,,0.13527,,,,,,1.0154,,icd10-K05-both_sexes.tsv.bgz,icd10-K05-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K05-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K05-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K05-both_sexes.tsv.bgz.tbi,537120056,1752019,3f8f7296dfac77ea1f35a72aafcbdc40,f0061a154e33abd3edff3c5b89300058,IC_Gingivitis_and_periodontal_diseases_h0.13527_n1179,K05,0,IC_Gingivitis_and_periodontal_diseases_h0.13527,1.03,h2_z_insignificant,,8.87E-05,K05,0,Hypertensive heart and/or renal disease,54
phecode,524,both_sexes,,,"Dentofacial anomalies, including malocclusion",,"Dentofacial anomalies, including malocclusion",digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-524-both_sexes.tsv.bgz.tbi,448,237,179,EUR,1,,,,,390,,,,,,408157,,,,,,0.077334,,,,,,0.98954,,phecode-524-both_sexes.tsv.bgz,phecode-524-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-524-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-524-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-524-both_sexes.tsv.bgz.tbi,527025270,1751267,a55d7dc711a0e4db10f6ceb46fe7bd15,e57fc2818c95c7df8b5ee432f055e6b4,PH_Dentofacial_anomalies_including_malocclusion_h0.07733_n448,M26,0,PH_Dentofacial_anomalies_including_malocclusion_h0.07733,1.01,h2_z_insignificant,,0.0006,K07,1,K07 Dentofacial anomalies [including malocclusion],93
icd10,K07,both_sexes,,,K07 Dentofacial anomalies [including malocclusion],truncated: true,K07 Dentofacial anomalies [including malocclusion],"Chapter XI Diseases of the digestive system | K00-K14 Diseases of oral cavity, salivary glands and jaws | K07 Dentofacial anomalies [including malocclusion]",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K07-both_sexes.tsv.bgz.tbi,781,487,232,EUR,1,,,,,675,,,,,,419856,,,,,,0.12951,,,,,,0.99044,,icd10-K07-both_sexes.tsv.bgz,icd10-K07-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K07-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K07-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K07-both_sexes.tsv.bgz.tbi,533607040,1751582,e9c6849dd0f56fc0f1a3053d88a837d9,94842b244199d4f08465973de8f01bcc,IC_Dentofacial_anomalies_[including_malocclusion]_h0.12951_n781,K07,0,IC_Dentofacial_anomalies_including_malocclusion_h0.12951,0.983,h2_z_insignificant,,0.0025,K07,0,"Dentofacial anomalies, including malocclusion",93
phecode,526.41,both_sexes,,,"Temporomandibular joint disorder, unspecified",,"Temporomandibular joint disorder, unspecified",digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-526.41-both_sexes.tsv.bgz.tbi,314,242,48,EUR,1,,,,,274,,,,,,408157,,,,,,0.095332,,,,,,0.9701,,phecode-526.41-both_sexes.tsv.bgz,phecode-526.41-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-526.41-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-526.41-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-526.41-both_sexes.tsv.bgz.tbi,522455408,1751304,633f09e3bd7ed6c80ed123d6d95733e8,f990a5f703beff082c8e1ba365bed594,PH_Temporomandibular_joint_disorder_unspecified_h0.09533_n314,M26.60,0,PH_Temporomandibular_joint_disorder_unspecified_h0.09533,1,h2_z_insignificant,,0.0012,K07.6,0,"Peripheral vascular disease, unspecified",61
phecode,524.3,both_sexes,,,Anomalies of tooth position/malocclusion,,Anomalies of tooth position/malocclusion,digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-524.3-both_sexes.tsv.bgz.tbi,392,205,159,EUR,1,,,,,341,,,,,,408157,,,,,,0.13612,,,,,,0.98858,,phecode-524.3-both_sexes.tsv.bgz,phecode-524.3-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-524.3-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-524.3-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-524.3-both_sexes.tsv.bgz.tbi,525259529,1751474,cde359c32644483d7265723455418d44,412624c2f87c526048ecf2fb2c450632,PH_Anomalies_of_tooth_position_malocclusion_h0.13612_n392,M26.39,0,PH_Anomalies_of_tooth_position_malocclusion_h0.13612_I20,1.01,h2_z_insignificant,,0.0012,K07.2-K07.4,0,"Dentofacial anomalies, including malocclusion",52
phecode,706.2,both_sexes,,,Sebaceous cyst,,Sebaceous cyst,dermatologic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-706.2-both_sexes.tsv.bgz.tbi,11121,5305,4909,"AFR,CSA,EUR",3,121,,168,,9745,,6488,,8682,,409787,,0.10062,,0.0692,,0.050561,,0.98809,,1.0089,,1.0239,,phecode-706.2-both_sexes.tsv.bgz,phecode-706.2-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-706.2-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-706.2-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-706.2-both_sexes.tsv.bgz.tbi,1644745721,2059505,4cf52784552a5de19ac8bbdd86b0f350,0afae78fa682677659d0e0ce0bac74b6,PH_Sebaceous_cyst_h0.05056_n11121,L72.3,0,PH_Sebaceous_cyst_h0.05056,1.05,h2_z_insignificant,,0.0119,K09.8-L72-L72.0-L72.1-L72.2-L72.8-L72.9,0,Spontaneous ecchymoses,56
phecode,526,both_sexes,,,Diseases of the jaws,,Diseases of the jaws,digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-526-both_sexes.tsv.bgz.tbi,1313,709,495,EUR,1,,,,,1133,,,,,,408157,,,,,,0.075247,,,,,,1.0241,,phecode-526-both_sexes.tsv.bgz,phecode-526-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-526-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-526-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-526-both_sexes.tsv.bgz.tbi,538489484,1751394,465e0c0eaf9e3560ac3542194a355239,dc535ceefba40e97831ba6c3ba84ed6d,PH_Diseases_of_the_jaws_h0.07525_n1313,M27,0,PH_Diseases_of_the_jaws_h0.07525_E27,1.02,h2_z_insignificant,,0.0033,K10,0,Diseases of lips,72
phecode,527,both_sexes,,,Diseases of the salivary glands,,Diseases of the salivary glands,digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-527-both_sexes.tsv.bgz.tbi,1408,713,581,EUR,1,,,,,1228,,,,,,413830,,,,,,0.12386,,,,,,1.0168,,phecode-527-both_sexes.tsv.bgz,phecode-527-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-527-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-527-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-527-both_sexes.tsv.bgz.tbi,538984784,1751956,fd5a86c604a630a13b74a0451d2ab740,4dbce7394e891df49863d4823d0deb7a,PH_Diseases_of_the_salivary_glands_h0.12386_n1408,Q38.4,0,PH_Diseases_of_the_salivary_glands_h0.12386,1.02,h2_z_insignificant,,-0.0005,K11,1,K11 Diseases of salivary glands,87
icd10,K11,both_sexes,,,K11 Diseases of salivary glands,truncated: true,K11 Diseases of salivary glands,"Chapter XI Diseases of the digestive system | K00-K14 Diseases of oral cavity, salivary glands and jaws | K11 Diseases of salivary glands",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K11-both_sexes.tsv.bgz.tbi,1330,674,548,EUR,1,,,,,1157,,,,,,419374,,,,,,0.13834,,,,,,0.98122,,icd10-K11-both_sexes.tsv.bgz,icd10-K11-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K11-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K11-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K11-both_sexes.tsv.bgz.tbi,538169157,1751927,9ada2992019e58ca12f39d3f8d851eea,36ea12c8a2a5c0a5f89181fb46e8d9eb,IC_Diseases_of_salivary_glands_h0.13834_n1330,K11,0,IC_Diseases_of_salivary_glands_h0.13834,1.02,h2_z_insignificant,,-0.0006,K11,0,Diseases of the salivary glands,87
phecode,528.11,both_sexes,,,Stomatitis and mucositis (ulcerative),,Stomatitis and mucositis (ulcerative),digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-528.11-both_sexes.tsv.bgz.tbi,581,302,233,EUR,1,,,,,505,,,,,,413830,,,,,,0.056059,,,,,,0.9722,,phecode-528.11-both_sexes.tsv.bgz,phecode-528.11-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-528.11-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-528.11-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-528.11-both_sexes.tsv.bgz.tbi,530309297,1751592,bafb67b91bb6bb49982984ea410a2ba3,942797043df9155ec267a8b8df532d0e,PH_Stomatitis_and_mucositis_(ulcerative)_h0.05606_n581,K12.39,0,PH_Stomatitis_and_mucositis_ulcerative_h0.05606,0.992,h2_z_insignificant,,0.0015,K12,0,Phlebitis and thrombophlebitis of lower extremities,50
phecode,528.5,both_sexes,,,Diseases of lips,,Diseases of lips,digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-528.5-both_sexes.tsv.bgz.tbi,920,467,371,EUR,1,,,,,808,,,,,,413830,,,,,,0.080818,,,,,,1.016,,phecode-528.5-both_sexes.tsv.bgz,phecode-528.5-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-528.5-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-528.5-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-528.5-both_sexes.tsv.bgz.tbi,535257477,1751479,c783cad1373b0deee329fffe3decdc99,0ddfe22f12911d911569a68dccb39969,PH_Diseases_of_lips_h0.08082_n920,K13.0,0,PH_Diseases_of_lips_h0.08082,1.02,h2_z_insignificant,,0.002,K13,0,Diseases of spleen,76
phecode,529.1,both_sexes,,,Glossitis,,Glossitis,digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-529.1-both_sexes.tsv.bgz.tbi,420,199,191,EUR,1,,,,,367,,,,,,413830,,,,,,0.11031,,,,,,0.98031,,phecode-529.1-both_sexes.tsv.bgz,phecode-529.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-529.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-529.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-529.1-both_sexes.tsv.bgz.tbi,526304329,1751089,a9860d86f034ab51b02779181a19383c,130d928d3c2ace20fcad8363e730b7b4,PH_Glossitis_h0.11031_n420,K14.0,0,PH_Glossitis_h0.11031,1.01,h2_z_insignificant,,-0.0005,K14,1,tonsiltis,67
icd10,K14,both_sexes,,,K14 Diseases of tongue,truncated: true,K14 Diseases of tongue,"Chapter XI Diseases of the digestive system | K00-K14 Diseases of oral cavity, salivary glands and jaws | K14 Diseases of tongue",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K14-both_sexes.tsv.bgz.tbi,1699,870,717,EUR,1,,,,,1510,,,,,,419021,,,,,,0.12034,,,,,,1.0154,,icd10-K14-both_sexes.tsv.bgz,icd10-K14-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K14-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K14-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K14-both_sexes.tsv.bgz.tbi,540453616,1751940,e0eec262c82d7c44713635061d6ad18f,e6a7e867d7187ade19a0d76fccf5dba7,IC_Diseases_of_tongue_h0.12034_n1699,K14,0,IC_Diseases_of_tongue_h0.12034,1.03,h2_z_insignificant,,-0.0015,K14,0,Diseases of the jaws,67
phecode,529,both_sexes,,,Diseases and other conditions of the tongue,,Diseases and other conditions of the tongue,digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-529-both_sexes.tsv.bgz.tbi,1712,877,723,EUR,1,,,,,1522,,,,,,413830,,,,,,0.10725,,,,,,1.0313,,phecode-529-both_sexes.tsv.bgz,phecode-529-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-529-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-529-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-529-both_sexes.tsv.bgz.tbi,540873552,1751559,1cbe6f5b2d901d530847a3b1490f10a9,4307641cc9fe50d0eef90d6b85ea954c,PH_Diseases_and_other_conditions_of_the_tongue_h0.10725_n1712,O99.891,0,PH_Diseases_and_other_conditions_of_the_tongue_h0.10725,1.01,h2_z_insignificant,,-0.0011,K14,1,Diseases of hard tissues of teeth,55
phecode,530.12,both_sexes,,,Ulcer of esophagus,,Ulcer of esophagus,digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-530.12-both_sexes.tsv.bgz.tbi,6544,2309,3782,"CSA,EUR",2,,,84,,5899,,,,7743,,371349,,,,0.0854,,0.062783,,,,1.0049,,1.0715,,phecode-530.12-both_sexes.tsv.bgz,phecode-530.12-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-530.12-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-530.12-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-530.12-both_sexes.tsv.bgz.tbi,1133136142,1937320,5dd4f15317ed06844be4861cc16d06a4,3cd271794613ae0c47cf675c3beef079,PH_Ulcer_of_esophagus_h0.06278_n6544,K22.10,0,PH_Ulcer_of_esophagus_h0.06278,1.08,h2_z_insignificant,,0.0108,K22.1,0,Cancer of esophagus,86
phecode,531.1,both_sexes,,,Hemorrhage from gastrointestinal ulcer,,Hemorrhage from gastrointestinal ulcer,digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-531.1-both_sexes.tsv.bgz.tbi,930,251,598,EUR,1,,,,,788,,,,,,411516,,,,,,0.10714,,,,,,0.99628,,phecode-531.1-both_sexes.tsv.bgz,phecode-531.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-531.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-531.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-531.1-both_sexes.tsv.bgz.tbi,534898380,1751537,5bd75f12b6e8dffda03cedd193d65dd5,7b31cf7e0f780c816ca4152578b11f10,PH_Hemorrhage_from_gastrointestinal_ulcer_h0.10714_n930,K92.2,0,PH_Hemorrhage_from_gastrointestinal_ulcer_h0.10714,0.976,h2_z_insignificant,,-0.0013,K25,0,R04 Haemorrhage from respiratory passages,51
categorical,20002,both_sexes,1457,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",duodenal ulcer,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1457.tsv.bgz.tbi,1967,713,1254,EUR,1,,,,,1709,,,,,,418764,,,,,,0.071316,,,,,,1.0347,,categorical-20002-both_sexes-1457.tsv.bgz,categorical-20002-both_sexes-1457.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1457.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1457.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1457.tsv.bgz.tbi,541546567,1752146,7191331106331acc56db6ad228ea35bd,b6694f6b49a1c6180d642045ba3cc11d,CA_Medical_conditions_h0.07132_n1967,K26.4,0,CA_duodenal_ulcer_h0.07132,1.04,h2_z_insignificant,,0.002,K26,1,Duodenal ulcer,93
phecode,531.3,both_sexes,,,Duodenal ulcer,,Duodenal ulcer,digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-531.3-both_sexes.tsv.bgz.tbi,4087,1363,2364,"CSA,EUR",2,,,96,,3516,,,,8645,,411516,,,,0.0874,,0.092989,,,,1.0205,,1.0463,,phecode-531.3-both_sexes.tsv.bgz,phecode-531.3-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-531.3-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-531.3-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-531.3-both_sexes.tsv.bgz.tbi,1115068240,1932512,83a73a6dafe43c41849bf5a49b6e5c9c,96fa9f4bc4095593788d6a71b26bab81,PH_Duodenal_ulcer_h0.09299_n4087,K26.4,0,PH_Duodenal_ulcer_h0.09299,1.03,h2_z_insignificant,,0.003,K26,1,duodenal ulcer,93
icd10,K26,both_sexes,,,K26 Duodenal ulcer,truncated: true,K26 Duodenal ulcer,"Chapter XI Diseases of the digestive system | K20-K31 Diseases of oesophagus, stomach and duodenum | K26 Duodenal ulcer",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K26-both_sexes.tsv.bgz.tbi,4244,1364,2531,"AFR,CSA,EUR",3,53,,108,,3659,,6583,,8768,,416872,,0,,0.0784,,0.089969,,1.0166,,1.0058,,1.0226,,icd10-K26-both_sexes.tsv.bgz,icd10-K26-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K26-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-K26-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-K26-both_sexes.tsv.bgz.tbi,1578201103,2047145,3c10ef2744a3c58130c4b8f8c49cabdb,1b374e0227064b0773307122000652f3,IC_Duodenal_ulcer_h0.08997_n4244,K26,0,IC_Duodenal_ulcer_h0.08997,1.06,h2_z_insignificant,,0.0026,K26,0,Duodenal ulcer,88
phecode,531,both_sexes,,,Peptic ulcer (excl. esophageal),,Peptic ulcer (excl. esophageal),digestive,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-531-both_sexes.tsv.bgz.tbi,10514,4255,5333,"AFR,CSA,EAS,EUR,MID",5,144,,231,56,9015,61,6492,,8645,2653,411516,1538,0.0508,,0.0149,0.11126,0.052848,0.0661,0.99699,,0.99777,1.0085,1.0353,1.0637,phecode-531-both_sexes.tsv.bgz,phecode-531-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-531-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-531-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-531-both_sexes.tsv.bgz.tbi,2115837870,2190646,b249fc105841ec4225a2622d99accb04,aac21546203dcf4777fdbb4c016eb73e,PH_Peptic_ulcer_excl._esophageal_h0.05285_n10514,Z87.11,0,PH_Peptic_ulcer_exclesophageal_h0..05285,1.04,not_EUR_plus_1,,0.0108,K26-K27-K28,1,Ulcer of esophagus,53
