trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR,lambda_gc_MID,filename,filename_tabix,aws_link,aws_link_tabix,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot
categorical,41248,both_sexes,6000,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Transfer within NHS provider,Health-related outcomes > Hospital inpatient > Summary Administration,5312,2457,2855,EUR,1,,,,,4683,,,,,,407892,,,,,,0.15093,,,,,,1.0533,,categorical-41248-both_sexes-6000.tsv.bgz,categorical-41248-both_sexes-6000.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-6000.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-6000.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-6000.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-6000.tsv.bgz.tbi,545436952,1752078,0c362d5b4861379ec445c4f29eda3fad,e0cedfc81ddad604d0070789a2d4f8af,CA__Summary_Administration_h0.15093_n5312,,1,CA_Administration_h0.15093
categorical,41253,both_sexes,21,,Inpatient record format,"This field shows, for each participant, the formats of the data in which the original hospital inpatient records were supplied to UK Biobank.  This field corresponds to the field SOURCE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",PEDW HES 2015,Health-related outcomes > Hospital inpatient > Summary Administration,18392,10096,8296,"AFR,CSA,EAS,EUR,MID",5,62,,106,67,16734,54,6574,,8770,2642,403797,1545,0.2993,,0,0.096955,0.15206,0.047572,1.0132,,1.0433,1.0064,1.1691,1.0319,categorical-41253-both_sexes-21.tsv.bgz,categorical-41253-both_sexes-21.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41253-both_sexes-21.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41253-both_sexes-21.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41253-both_sexes-21.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41253-both_sexes-21.tsv.bgz.tbi,2085183270,2186244,f94ffea00c36a09a2cfa712f810c9f05,511a32f7ad06d629bd501e7c225c1a2b,CA__Summary_Administration_h0.15206_n18392,,1,CA_Administration_h0.15206
categorical,41248,both_sexes,1002,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Usual Place of residence: Living alone,Health-related outcomes > Hospital inpatient > Summary Administration,3963,2245,1718,EUR,1,,,,,3357,,,,,,408858,,,,,,0.15355,,,,,,1.0591,,categorical-41248-both_sexes-1002.tsv.bgz,categorical-41248-both_sexes-1002.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-1002.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-1002.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-1002.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-1002.tsv.bgz.tbi,544083954,1751996,2c4fb35b8070cf4aa5f29d27cdd444d6,277b29e864009585e590fd06fbae2ce6,CA__Summary_Administration_h0.15355_n3963,,1,CA_Administration_h0.15355
categorical,41229,both_sexes,5NT,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",MANCHESTER PCT,Health-related outcomes > Hospital inpatient > Summary Administration,4221,2145,2076,"AFR,CSA,EUR",3,237,,180,,3065,,6399,,8696,,417466,,0.11875,,0,,0.15759,,0.99653,,1.0583,,1.031,,categorical-41229-both_sexes-5NT.tsv.bgz,categorical-41229-both_sexes-5NT.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5NT.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5NT.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5NT.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5NT.tsv.bgz.tbi,1640113169,2058519,aa23d69a0f01698200b593f6bc4e4f07,9d5a028d54e1e1cf50c5aa5055b3734e,CA__Summary_Administration_h0.15759_n4221,,1,CA_Administration_h0.15759
categorical,41229,both_sexes,5K8,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",ISLINGTON PCT,Health-related outcomes > Hospital inpatient > Summary Administration,1815,1020,795,"AFR,EUR",2,87,,,,1212,,6549,,,,419319,,0,,,,0.16062,,0.98847,,,,1.0538,,categorical-41229-both_sexes-5K8.tsv.bgz,categorical-41229-both_sexes-5K8.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5K8.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5K8.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5K8.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5K8.tsv.bgz.tbi,1255339928,1961839,87d678a1f6d0165204c453d069953fb8,545bd5ac35e4784843a4130e4de808ca,CA__Summary_Administration_h0.16062_n1815,,1,CA_Administration_h0.16062
categorical,100920,both_sexes,2199,,Type milk consumed,"Question asked: ""Which type of milk did you use most frequently yesterday? Remember milk in drinks, on cereal and in cooking."" If the participant activated the Help feature they were shown the message:  If you typically use more than one type of milk, please select the one you use the most, even if it is only used slightly more than other types. If you had 1% fat milk (e.g. Sainsbury's orange top milk) then please select Semi-skimmed milk.",other type of milk,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,367,243,124,EUR,1,,,,,272,,,,,,58618,,,,,,0.16072,,,,,,1.0164,,categorical-100920-both_sexes-2199.tsv.bgz,categorical-100920-both_sexes-2199.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2199.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2199.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2199.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2199.tsv.bgz.tbi,519472890,1750881,967ddc625700aed6c40e8e089bbf48c8,98ce8e67b21eb0dadca62b3bcc934597,CA__Milk/eggs/cheese_yesterday_h0.16072_n367,,1,CA_Milk_eggs_cheese_yesterday_h0.16072
categorical,41229,both_sexes,5K9,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",CROYDON PCT,Health-related outcomes > Hospital inpatient > Summary Administration,5465,3094,2371,"AFR,CSA,EAS,EUR",4,481,,416,60,3700,,6155,,8460,2649,416831,,0.07321,,0.1638,0.11504,0.16149,,1.0048,,1.0249,1.0018,1.0595,,categorical-41229-both_sexes-5K9.tsv.bgz,categorical-41229-both_sexes-5K9.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5K9.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5K9.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5K9.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5K9.tsv.bgz.tbi,1881337215,2127876,865feaa2903241add2c62581f2e216bb,c7e8adbd9fdfa8cb38ecf6a12f15f4d8,CA__Summary_Administration_h0.16149_n5465,,1,CA_Administration_h0.16149
phecode,245,both_sexes,,,Thyroiditis,,,endocrine/metabolic,402,335,40,EUR,1,,,,,351,,,,,,399034,,,,,,0.16332,,,,,,1.0154,,phecode-245-both_sexes.tsv.bgz,phecode-245-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-245-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-245-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-245-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-245-both_sexes.tsv.bgz.tbi,525780063,1751159,abec21bc0a1595fc2edddb152718c411,707b757e8011c769640f05449b42a4ab,PH_Thyroiditis_h0.16332_n402,,1,PH_Thyroiditis_h0.16332
phecode,958.2,both_sexes,,,Traumatic and surgical subcutaneous emphysema,,,injuries & poisonings,117,28,80,EUR,1,,,,,108,,,,,,419882,,,,,,0.16685,,,,,,0.98328,,phecode-958.2-both_sexes.tsv.bgz,phecode-958.2-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-958.2-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-958.2-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-958.2-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-958.2-both_sexes.tsv.bgz.tbi,508231418,1750418,754a5782d23f691bb3629b353c9d22be,85fba47d1b7b672ab0eec53f8fb37d2e,PH_Traumatic_and_surgical_subcutaneous_emphysema_h0.16685_n117,,0,PH_Traumatic_and_surgical_subcutaneous_emphysema_h0.16685
categorical,41229,both_sexes,5NY,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",BRADFORD AND AIREDALE TEACHING PCT,Health-related outcomes > Hospital inpatient > Summary Administration,5097,2729,2368,"CSA,EUR",2,,,187,,4387,,,,8689,,416144,,,,0.254,,0.18372,,,,0.99697,,1.0879,,categorical-41229-both_sexes-5NY.tsv.bgz,categorical-41229-both_sexes-5NY.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5NY.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5NY.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5NY.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5NY.tsv.bgz.tbi,1133644295,1935621,ae1a02d29036a8036dcf8dfeb28646dc,6d0baeae1d3220433446e1eaf7150d67,CA__Summary_Administration_h0.18372_n5097,,1,CA_Administration_h0.18372
categorical,1747,both_sexes,1,,"Hair colour (natural, before greying)","ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)""  If the participant activated the Help button they were shown the message:        If you are unsure, please select the colour closest to your natural  adult hair colour or select Do not know.          This question was dropped from the touchscreen protocol on 24/10/2016.",Blonde,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,51325,30965,20360,EUR,1,,,,,47978,,,,,,371503,,,,,,0.1848,,,,,,1.195,,categorical-1747-both_sexes-1.tsv.bgz,categorical-1747-both_sexes-1.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-1.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-1.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-1.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-1.tsv.bgz.tbi,548358232,1752175,dc85062c365eb420af647589ba5b9a9c,e1e42b0337aea04b2b686e98aebc6b43,CA_Sun_exposure_h0.18480_n51325,,0,CA_blonde_hair_color_h0.18480
categorical,41229,both_sexes,5M6,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",RICHMOND AND TWICKENHAM PCT,Health-related outcomes > Hospital inpatient > Summary Administration,3070,1739,1331,"CSA,EUR",2,,,86,,2512,,,,8790,,418019,,,,0.031563,,0.18653,,,,1.009,,1.045,,categorical-41229-both_sexes-5M6.tsv.bgz,categorical-41229-both_sexes-5M6.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5M6.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5M6.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5M6.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5M6.tsv.bgz.tbi,1103204875,1930166,64527c058a519787b8100e1847a86d58,c19f4219910cae7f7f4646fcd2d55dcb,CA__Summary_Administration_h0.18653_n3070,,1,CA_Administration_h0.18653
icd10,L23,both_sexes,,,L23 Allergic contact dermatitis,truncated: true,,Chapter XII Diseases of the skin and subcutaneous tissue | L20-L30 Dermatitis and eczema | L23 Allergic contact dermatitis,135,88,34,EUR,1,,,,,117,,,,,,420414,,,,,,0.18851,,,,,,0.98549,,icd10-L23-both_sexes.tsv.bgz,icd10-L23-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-L23-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-L23-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-L23-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-L23-both_sexes.tsv.bgz.tbi,509271165,1750502,aa011591c1d2c71e7c8015fb0071d9eb,4cd0052a6b81dfffaf01048014965382,IC_Allergic_contact_dermatitis_h0.18851_n135,,0,IC_Allergic_contact_dermatitis_h0.18851
phecode,755.61,both_sexes,,,Congenital hip dysplasia and deformity,,,congenital anomalies,142,108,17,EUR,1,,,,,122,,,,,,419170,,,,,,0.19351,,,,,,1.0081,,phecode-755.61-both_sexes.tsv.bgz,phecode-755.61-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-755.61-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-755.61-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-755.61-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-755.61-both_sexes.tsv.bgz.tbi,509482476,1750430,a3aedf05534633c92c83b4831eae7388,6cd3b44c9241bc21d953c614c6fb3e1b,PH_Congenital_hip_dysplasia_and_deformity_h0.19351_n142,,0,PH_Congenital_hip_dysplasia_and_deformity_h0.19351
categorical,41229,both_sexes,5MX,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",HEART OF BIRMINGHAM TEACHING PCT,Health-related outcomes > Hospital inpatient > Summary Administration,1444,726,718,"AFR,CSA,EUR",3,237,,310,,677,,6399,,8566,,419854,,0.20355,,0.15717,,0.19814,,0.96981,,1.0012,,0.99393,,categorical-41229-both_sexes-5MX.tsv.bgz,categorical-41229-both_sexes-5MX.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5MX.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5MX.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5MX.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5MX.tsv.bgz.tbi,1606907910,2052521,bc01a0743e9e91d4dcf0eecabec37855,71d06b99d1175b21f060514d949a686d,CA__Summary_Administration_h0.19814_n1444,,1,CA_Administration_h0.19814
categorical,41229,both_sexes,5QJ,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",BRISTOL PCT,Health-related outcomes > Hospital inpatient > Summary Administration,9630,5491,4139,"AFR,CSA,EUR",3,142,,86,,8483,,6494,,8790,,412048,,0.22285,,0,,0.19927,,1.0055,,1.0839,,1.1705,,categorical-41229-both_sexes-5QJ.tsv.bgz,categorical-41229-both_sexes-5QJ.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5QJ.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5QJ.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5QJ.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5QJ.tsv.bgz.tbi,1642837691,2059263,01247deca360505ba6b5aac04e7802fb,ab70f58ccee252933e8130e7dbfe7e23,CA__Summary_Administration_h0.19927_n9630,,1,CA_Administration_h0.19927
categorical,41229,both_sexes,5AT,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",HILLINGDON PCT,Health-related outcomes > Hospital inpatient > Summary Administration,1437,713,724,"AFR,CSA,EUR",3,54,,215,,909,,6582,,8661,,419622,,0.091788,,0.17909,,0.19928,,1.0297,,0.97607,,1.0344,,categorical-41229-both_sexes-5AT.tsv.bgz,categorical-41229-both_sexes-5AT.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5AT.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5AT.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5AT.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5AT.tsv.bgz.tbi,1548360819,2042016,7bddb22a4ec4c266dac2874e74eb34ba,12a519c775183dbd66bc7c5f8615540e,CA__Summary_Administration_h0.19928_n1437,,1,CA_Administration_h0.19928
categorical,41229,both_sexes,5N1,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",LEEDS PCT,Health-related outcomes > Hospital inpatient > Summary Administration,14885,8155,6730,"AFR,CSA,EUR",3,144,,228,,13094,,6492,,8648,,407437,,0,,0.17413,,0.20414,,1.0752,,1.0347,,1.1751,,categorical-41229-both_sexes-5N1.tsv.bgz,categorical-41229-both_sexes-5N1.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5N1.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5N1.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5N1.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5N1.tsv.bgz.tbi,1662476034,2062444,2ae83a3c777b19bbde06947adf3fc922,98203122ab17a66b289533089c6f01ee,CA__Summary_Administration_h0.20414_n14885,,1,CA_Administration_h0.20414
categorical,41229,both_sexes,5LF,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",LEWISHAM PCT,Health-related outcomes > Hospital inpatient > Summary Administration,1157,658,499,"AFR,EUR",2,203,,,,689,,6433,,,,419842,,0.17377,,,,0.20627,,0.98974,,,,1.0051,,categorical-41229-both_sexes-5LF.tsv.bgz,categorical-41229-both_sexes-5LF.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5LF.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5LF.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5LF.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5LF.tsv.bgz.tbi,1273288924,1966185,9e7ab99e332981c122acd1afa8d29d42,dfc95b7e8abbe3227a12e908a7bfa117,CA__Summary_Administration_h0.20627_n1157,,1,CA_Administration_h0.20627
