;phenocode;X;Unnamed..0;Unnamed..0.1;trait_type;pheno_sex;coding;modifier;description;description_more;coding_description;category;n_cases_full_cohort_both_sexes;n_cases_full_cohort_females;n_cases_full_cohort_males;pops;num_pops;n_cases_AFR;n_cases_AMR;n_cases_CSA;n_cases_EAS;n_cases_EUR;n_cases_MID;n_controls_AFR;n_controls_AMR;n_controls_CSA;n_controls_EAS;n_controls_EUR;n_controls_MID;saige_heritability_AFR;saige_heritability_AMR;saige_heritability_CSA;saige_heritability_EAS;saige_heritability_EUR;saige_heritability_MID;lambda_gc_AFR;lambda_gc_AMR;lambda_gc_CSA;lambda_gc_EAS;lambda_gc_EUR;lambda_gc_MID;filename;filename_tabix;aws_link;aws_link_tabix;wget;wget_tabix;size_in_bytes;size_in_bytes_tabix;md5_hex;md5_hex_tabix;phenocode_annotate_lst;category_manual;coding_description.1;new_pheno_annot;AB_ICD10
180;464;1065;1065;6097;phecode;both_sexes;;;Acute sinusitis;;;respiratory;267;149;95;EUR;1;NA;NA;NA;NA;229;NA;NA;NA;NA;NA;417499;NA;NA;NA;NA;NA;0.11851;NA;NA;NA;NA;NA;0.97092;NA;phecode-464-both_sexes.tsv.bgz;phecode-464-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-464-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-464-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-464-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-464-both_sexes.tsv.bgz.tbi;519912409;1750967;26ec3ba926395bc47ea73b347b4acd40;7ded3978beaeca1252543843e717185b;PH_Acute_sinusitis_h0.11851_n267;respiratory;;PH_Acute_sinusitis_h0.11851_n267;J01
181;465.2;1066;1066;6099;phecode;both_sexes;;;Acute pharyngitis;;;respiratory;1268;653;519;EUR;1;NA;NA;NA;NA;1086;NA;NA;NA;NA;NA;417499;NA;NA;NA;NA;NA;0.050584;NA;NA;NA;NA;NA;1.0057;NA;phecode-465.2-both_sexes.tsv.bgz;phecode-465.2-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-465.2-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-465.2-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-465.2-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-465.2-both_sexes.tsv.bgz.tbi;537954097;1751580;e19ece4cdfa79e8d995950c8010140ee;a5ea62ec49c62251f37affe7c80445ea;PH_Acute_pharyngitis_h0.05058_n1268;respiratory;;PH_Acute_pharyngitis_h0.05058_n1268;J02
182;465.4;1067;1067;6100;phecode;both_sexes;;;Acute laryngitis and tracheitis;;;respiratory;218;115;87;EUR;1;NA;NA;NA;NA;197;NA;NA;NA;NA;NA;417499;NA;NA;NA;NA;NA;0.059802;NA;NA;NA;NA;NA;0.99208;NA;phecode-465.4-both_sexes.tsv.bgz;phecode-465.4-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-465.4-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-465.4-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-465.4-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-465.4-both_sexes.tsv.bgz.tbi;515638665;1751104;799994cda4b6398168ffd94486a4c5ca;fcaf84c6e884b33d41556a31a8fa9bea;PH_Acute_laryngitis_and_tracheitis_h0.05980_n218;respiratory;;PH_Acute_laryngitis_and_tracheitis_h0.05980_n218;J04
183;474.1;1068;1068;6109;phecode;both_sexes;;;Acute tonsillitis;;;respiratory;843;442;309;EUR;1;NA;NA;NA;NA;686;NA;NA;NA;NA;NA;398757;NA;NA;NA;NA;NA;0.083202;NA;NA;NA;NA;NA;0.99398;NA;phecode-474.1-both_sexes.tsv.bgz;phecode-474.1-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-474.1-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-474.1-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-474.1-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-474.1-both_sexes.tsv.bgz.tbi;533370841;1751918;4be973a30d4ec47e92e62c1e456b647f;33b063d3b97b15e34ec9485a47e6129d;PH_Acute_tonsillitis_h0.08320_n843;respiratory;;PH_Acute_tonsillitis_h0.08320_n843;J03
184;477;1069;1069;6113;phecode;both_sexes;;;Epistaxis or throat hemorrhage;;;respiratory;3368;1282;1847;EUR;1;NA;NA;NA;NA;2993;NA;NA;NA;NA;NA;398757;NA;NA;NA;NA;NA;0.062021;NA;NA;NA;NA;NA;1.0545;NA;phecode-477-both_sexes.tsv.bgz;phecode-477-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-477-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-477-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-477-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-477-both_sexes.tsv.bgz.tbi;544190814;1752037;f214045dcce71d6d8b306ef3f101409b;1d9244fb7d0d8955d57fbb13a2ad0ddc;PH_Epistaxis_or_throat_hemorrhage_h0.06202_n3368;respiratory;;PH_Epistaxis_or_throat_hemorrhage_h0.06202_n3368;R04
185;481;1070;1070;6123;phecode;both_sexes;;;Influenza;;;respiratory;499;235;223;EUR;1;NA;NA;NA;NA;414;NA;NA;NA;NA;NA;405999;NA;NA;NA;NA;NA;0.12306;NA;NA;NA;NA;NA;1.0023;NA;phecode-481-both_sexes.tsv.bgz;phecode-481-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-481-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-481-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-481-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-481-both_sexes.tsv.bgz.tbi;527814705;1751083;14dab39aa3df348c5d592fe49a7e4ca8;34eb67eced2e3e84ece16bb45e675f65;PH_Influenza_h0.12306_n499;respiratory;;PH_Influenza_h0.12306_n499;J11
186;483;1071;1071;6124;phecode;both_sexes;;;Acute bronchitis and bronchiolitis;;;respiratory;319;154;127;EUR;1;NA;NA;NA;NA;269;NA;NA;NA;NA;NA;405999;NA;NA;NA;NA;NA;0.15738;NA;NA;NA;NA;NA;0.98442;NA;phecode-483-both_sexes.tsv.bgz;phecode-483-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-483-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-483-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-483-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-483-both_sexes.tsv.bgz.tbi;522412077;1750964;19eef4153068d072504605071a776238;b153f5a0c0124f3a63623a25657c2860;PH_Acute_bronchitis_and_bronchiolitis_h0.15738_n319;respiratory;;PH_Acute_bronchitis_and_bronchiolitis_h0.15738_n319;J20
187;496.1;1072;1072;6128;phecode;both_sexes;;;Emphysema;;;respiratory;2655;1012;1483;EUR;1;NA;NA;NA;NA;2425;NA;NA;NA;NA;NA;379656;NA;NA;NA;NA;NA;0.284;NA;NA;NA;NA;NA;1.0369;NA;phecode-496.1-both_sexes.tsv.bgz;phecode-496.1-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-496.1-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-496.1-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-496.1-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-496.1-both_sexes.tsv.bgz.tbi;543484325;1752144;7469fb529f070be68005085d2d7973e8;a9e949c7b7fcb1a1d7a472fbaab85f42;PH_Emphysema_h0.28400_n2655;respiratory;;PH_Emphysema_h0.28400_n2655;J43
188;496.3;1073;1073;6131;phecode;both_sexes;;;Bronchiectasis;;;respiratory;3002;1598;1212;EUR;1;NA;NA;NA;NA;2682;NA;NA;NA;NA;NA;379656;NA;NA;NA;NA;NA;0.10444;NA;NA;NA;NA;NA;1.0365;NA;phecode-496.3-both_sexes.tsv.bgz;phecode-496.3-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-496.3-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-496.3-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-496.3-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-496.3-both_sexes.tsv.bgz.tbi;544084440;1752070;4b2886c559ee74766b1c96ba68bee592;71ba5724fc7b24d409635c001250bfb9;PH_Bronchiectasis_h0.10444_n3002;respiratory;;PH_Bronchiectasis_h0.10444_n3002;J47
189;500;1074;1074;6133;phecode;both_sexes;;;Lung disease due to external agents;;;respiratory;633;135;450;EUR;1;NA;NA;NA;NA;570;NA;NA;NA;NA;NA;404684;NA;NA;NA;NA;NA;0.19992;NA;NA;NA;NA;NA;1.0247;NA;phecode-500-both_sexes.tsv.bgz;phecode-500-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-500-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-500-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-500-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-500-both_sexes.tsv.bgz.tbi;531700720;1751619;cd972c6e90e3f15e18b2447d0adebc37;3c9ec5e7c831bc133b75cbb0136035c5;PH_Lung_disease_due_to_external_agents_h0.19992_n633;respiratory;;PH_Lung_disease_due_to_external_agents_h0.19992_n633;J70
190;501;1075;1075;6136;phecode;both_sexes;;;Pneumonitis due to inhalation of food or vomitus;;;respiratory;1081;337;668;EUR;1;NA;NA;NA;NA;958;NA;NA;NA;NA;NA;404684;NA;NA;NA;NA;NA;0.064811;NA;NA;NA;NA;NA;1.0111;NA;phecode-501-both_sexes.tsv.bgz;phecode-501-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-501-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-501-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-501-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-501-both_sexes.tsv.bgz.tbi;536644995;1751766;3969f5ce5e47e3e8f346ed65f36f73b1;d39724371fca1c68378b45fb91152de8;PH_Pneumonitis_due_to_inhalation_of_food_or_vomitus_h0.06481_n1081;respiratory;;PH_Pneumonitis_due_to_inhalation_of_food_or_vomitus_h0.06481_n1081;J69
191;502;1076;1076;6137;phecode;both_sexes;;;Postinflammatory pulmonary fibrosis;;;respiratory;1438;531;813;EUR;1;NA;NA;NA;NA;1265;NA;NA;NA;NA;NA;404684;NA;NA;NA;NA;NA;0.16874;NA;NA;NA;NA;NA;1.0199;NA;phecode-502-both_sexes.tsv.bgz;phecode-502-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-502-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-502-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-502-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-502-both_sexes.tsv.bgz.tbi;538725225;1751668;0f477a3cd408c2dcfbe55b552744928b;9dc894f3ab7aa33cffae234d6cb2b02d;PH_Postinflammatory_pulmonary_fibrosis_h0.16874_n1438;respiratory;;PH_Postinflammatory_pulmonary_fibrosis_h0.16874_n1438;J84
192;503;1077;1077;6138;phecode;both_sexes;;;Pulmonary congestion and hypostasis;;;respiratory;730;291;375;EUR;1;NA;NA;NA;NA;602;NA;NA;NA;NA;NA;404684;NA;NA;NA;NA;NA;0.12078;NA;NA;NA;NA;NA;1.0233;NA;phecode-503-both_sexes.tsv.bgz;phecode-503-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-503-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-503-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-503-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-503-both_sexes.tsv.bgz.tbi;532426508;1751547;c1afbd0da9cd680d203f468ad8f5b588;131c2fa3c8d42e37a6051eac454c8af7;PH_Pulmonary_congestion_and_hypostasis_h0.12078_n730;respiratory;;PH_Pulmonary_congestion_and_hypostasis_h0.12078_n730;J81
193;509.1;1078;1078;6144;phecode;both_sexes;;;Respiratory failure;;;respiratory;789;266;459;EUR;1;NA;NA;NA;NA;676;NA;NA;NA;NA;NA;404684;NA;NA;NA;NA;NA;0.23068;NA;NA;NA;NA;NA;1.0106;NA;phecode-509.1-both_sexes.tsv.bgz;phecode-509.1-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-509.1-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-509.1-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-509.1-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-509.1-both_sexes.tsv.bgz.tbi;533141707;1751608;b9814aee7938f5a5011c8003cfc008b5;494b0556e581cac340233ab1740cd337;PH_Respiratory_failure_h0.23068_n789;respiratory;;PH_Respiratory_failure_h0.23068_n789;J96
194;510;1079;1079;6148;phecode;both_sexes;;;Other diseases of lung;;;respiratory;1714;775;804;EUR;1;NA;NA;NA;NA;1505;NA;NA;NA;NA;NA;418995;NA;NA;NA;NA;NA;0.086927;NA;NA;NA;NA;NA;1.0136;NA;phecode-510-both_sexes.tsv.bgz;phecode-510-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-510-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-510-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-510-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-510-both_sexes.tsv.bgz.tbi;540474188;1751584;57fdae1c7f31ed71e68630fff1188290;386c207271276d6ebceaea25bd59329b;PH_Other_diseases_of_lung_h0.08693_n1714;respiratory;;PH_Other_diseases_of_lung_h0.08693_n1714;J98
195;519.2;1080;1080;6163;phecode;both_sexes;;;Respiratory complications;;;respiratory;401;177;196;EUR;1;NA;NA;NA;NA;350;NA;NA;NA;NA;NA;407792;NA;NA;NA;NA;NA;0.21515;NA;NA;NA;NA;NA;1.0033;NA;phecode-519.2-both_sexes.tsv.bgz;phecode-519.2-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-519.2-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-519.2-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-519.2-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-519.2-both_sexes.tsv.bgz.tbi;525620222;1751508;2ba8331b010d81e99e4d177f9f620dd4;9fcae2267a69712bc95973a287e3fc1b;PH_Respiratory_complications_h0.21515_n401;respiratory;;PH_Respiratory_complications_h0.21515_n401;J95
196;519.9;1081;1081;6165;phecode;both_sexes;;;Symptoms involving respiratory system and other chest symptoms;;;respiratory;1091;445;534;EUR;1;NA;NA;NA;NA;940;NA;NA;NA;NA;NA;407792;NA;NA;NA;NA;NA;0.32733;NA;NA;NA;NA;NA;1.0043;NA;phecode-519.9-both_sexes.tsv.bgz;phecode-519.9-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-519.9-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-519.9-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-519.9-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-519.9-both_sexes.tsv.bgz.tbi;535960226;1751396;1d2bacaefa44104b96d66e1ad536b597;cb648bf4586710d489e5f10203461094;PH_Symptoms_involving_respiratory_system_and_other_chest_symptoms_h0.32733_n1091;respiratory;;PH_Symptoms_involving_respiratory_system_and_other_chest_symptoms_h0.32733_n1091;R22
197;522.5;1082;1082;6171;phecode;both_sexes;;;Periapical abscess;;;digestive;1665;886;610;EUR;1;NA;NA;NA;NA;1392;NA;NA;NA;NA;NA;408157;NA;NA;NA;NA;NA;0.06752;NA;NA;NA;NA;NA;1.0273;NA;phecode-522.5-both_sexes.tsv.bgz;phecode-522.5-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-522.5-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-522.5-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-522.5-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-522.5-both_sexes.tsv.bgz.tbi;540045995;1752209;2de7d6dc77dbdf411a4830f4a1ddcc0b;4537a3881b2fe5a1f2ad224713f1fcbd;PH_Periapical_abscess_h0.06752_n1665;digestive;;PH_Periapical_abscess_h0.06752_n1665;K04
198;524;1083;1083;6177;phecode;both_sexes;;;Dentofacial anomalies, including malocclusion;;;digestive;448;237;179;EUR;1;NA;NA;NA;NA;390;NA;NA;NA;NA;NA;408157;NA;NA;NA;NA;NA;0.077334;NA;NA;NA;NA;NA;0.98954;NA;phecode-524-both_sexes.tsv.bgz;phecode-524-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-524-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-524-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-524-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-524-both_sexes.tsv.bgz.tbi;527025270;1751267;a55d7dc711a0e4db10f6ceb46fe7bd15;e57fc2818c95c7df8b5ee432f055e6b4;PH_Dentofacial_anomalies,_including_malocclusion_h0.07733_n448;digestive;;PH_Dentofacial_anomalies,_including_malocclusion_h0.07733_n448;K07
199;524.3;1084;1084;6178;phecode;both_sexes;;;Anomalies of tooth position/malocclusion;;;digestive;392;205;159;EUR;1;NA;NA;NA;NA;341;NA;NA;NA;NA;NA;408157;NA;NA;NA;NA;NA;0.13612;NA;NA;NA;NA;NA;0.98858;NA;phecode-524.3-both_sexes.tsv.bgz;phecode-524.3-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-524.3-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-524.3-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-524.3-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-524.3-both_sexes.tsv.bgz.tbi;525259529;1751474;cde359c32644483d7265723455418d44;412624c2f87c526048ecf2fb2c450632;PH_Anomalies_of_tooth_position_malocclusion_h0.13612_n392;digestive;;PH_Anomalies_of_tooth_position_malocclusion_h0.13612_n392;K07
200;526;1085;1085;6180;phecode;both_sexes;;;Diseases of the jaws;;;digestive;1313;709;495;EUR;1;NA;NA;NA;NA;1133;NA;NA;NA;NA;NA;408157;NA;NA;NA;NA;NA;0.075247;NA;NA;NA;NA;NA;1.0241;NA;phecode-526-both_sexes.tsv.bgz;phecode-526-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-526-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-526-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-526-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-526-both_sexes.tsv.bgz.tbi;538489484;1751394;465e0c0eaf9e3560ac3542194a355239;dc535ceefba40e97831ba6c3ba84ed6d;PH_Diseases_of_the_jaws_h0.07525_n1313;digestive;;PH_Diseases_of_the_jaws_h0.07525_n1313;K10
201;526.41;1086;1086;6183;phecode;both_sexes;;;Temporomandibular joint disorder, unspecified;;;digestive;314;242;48;EUR;1;NA;NA;NA;NA;274;NA;NA;NA;NA;NA;408157;NA;NA;NA;NA;NA;0.095332;NA;NA;NA;NA;NA;0.9701;NA;phecode-526.41-both_sexes.tsv.bgz;phecode-526.41-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-526.41-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-526.41-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-526.41-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-526.41-both_sexes.tsv.bgz.tbi;522455408;1751304;633f09e3bd7ed6c80ed123d6d95733e8;f990a5f703beff082c8e1ba365bed594;PH_Temporomandibular_joint_disorder,_unspecified_h0.09533_n314;digestive;;PH_Temporomandibular_joint_disorder,_unspecified_h0.09533_n314;K07
202;527;1087;1087;6186;phecode;both_sexes;;;Diseases of the salivary glands;;;digestive;1408;713;581;EUR;1;NA;NA;NA;NA;1228;NA;NA;NA;NA;NA;413830;NA;NA;NA;NA;NA;0.12386;NA;NA;NA;NA;NA;1.0168;NA;phecode-527-both_sexes.tsv.bgz;phecode-527-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-527-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-527-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-527-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-527-both_sexes.tsv.bgz.tbi;538984784;1751956;fd5a86c604a630a13b74a0451d2ab740;4dbce7394e891df49863d4823d0deb7a;PH_Diseases_of_the_salivary_glands_h0.12386_n1408;digestive;;PH_Diseases_of_the_salivary_glands_h0.12386_n1408;K11
203;528.11;1088;1088;6191;phecode;both_sexes;;;Stomatitis and mucositis (ulcerative);;;digestive;581;302;233;EUR;1;NA;NA;NA;NA;505;NA;NA;NA;NA;NA;413830;NA;NA;NA;NA;NA;0.056059;NA;NA;NA;NA;NA;0.9722;NA;phecode-528.11-both_sexes.tsv.bgz;phecode-528.11-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-528.11-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-528.11-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-528.11-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-528.11-both_sexes.tsv.bgz.tbi;530309297;1751592;bafb67b91bb6bb49982984ea410a2ba3;942797043df9155ec267a8b8df532d0e;PH_Stomatitis_and_mucositis_(ulcerative)_h0.05606_n581;digestive;;PH_Stomatitis_and_mucositis_(ulcerative)_h0.05606_n581;K12
